,股號,股名,產業別
325,2405,輔信,電腦及週邊設備業
326,2406,國碩,光電業
327,2408,南亞科,半導體業
328,2409,友達,光電業
329,2412,中華電,通信網路業
330,2413,環科,電子零組件業
331,2414,精技,電子通路業
332,2415,錩新,電子零組件業
333,2417,圓剛,電腦及週邊設備業
334,2419,仲琦,通信網路業
335,2420,新巨,電子零組件業
336,2421,建準,電子零組件業
337,2423,固緯,其他電子業
338,2424,隴華,通信網路業
339,2425,承啟,電腦及週邊設備業
340,2426,鼎元,光電業
341,2427,三商電,資訊服務業
342,2428,興勤,電子零組件業
343,2429,銘旺科,光電業
344,2430,燦坤,電子通路業
345,2431,聯昌,電子零組件業
346,2433,互盛電,其他電子業
347,2434,統懋,半導體業
348,2436,偉詮電,半導體業
349,2438,翔耀,光電業
350,2439,美律,通信網路業
351,2440,太空梭,電子零組件業
352,2441,超豐,半導體業
353,2442,新美齊,建材營造業
354,2443,昶虹,其他業
355,2444,兆勁,通信網路業
356,2449,京元電子,半導體業
357,2450,神腦,通信網路業
358,2451,創見,半導體業
359,2453,凌群,資訊服務業
360,2454,聯發科,半導體業
361,2455,全新,通信網路業
362,2457,飛宏,電子零組件業
363,2458,義隆,半導體業
364,2459,敦吉,其他電子業
365,2460,建通,電子零組件業
366,2461,光群雷,其他電子業
367,2462,良得電,電子零組件業
368,2464,盟立,其他電子業
369,2465,麗臺,電腦及週邊設備業
370,2466,冠西電,光電業
371,2467,志聖,電子零組件業
372,2468,華經,資訊服務業
373,2471,資通,資訊服務業
374,2472,立隆電,電子零組件業
375,2474,可成,其他電子業
376,2476,鉅祥,電子零組件業
377,2477,美隆電,其他電子業
378,2478,大毅,電子零組件業
379,2480,敦陽科,資訊服務業
380,2481,強茂,半導體業
381,2482,連宇,其他電子業
382,2483,百容,電子零組件業
383,2484,希華,電子零組件業
384,2485,兆赫,通信網路業
385,2486,一詮,光電業
386,2488,漢平,其他電子業
387,2489,瑞軒,光電業
388,2491,吉祥全,光電業
389,2492,華新科,電子零組件業
390,2493,揚博,電子零組件業
391,2495,普安,電腦及週邊設備業
392,2496,卓越,其他業
393,2497,怡利電,汽車工業
394,2498,宏達電,通信網路業
395,2501,國建,建材營造業
396,2504,國產,建材營造業
397,2505,國揚,建材營造業
398,2506,太設,建材營造業
399,2509,全坤建,建材營造業
400,2511,太子,建材營造業
401,2514,龍邦,其他業
402,2515,中工,建材營造業
403,2516,新建,建材營造業
404,2520,冠德,建材營造業
405,2524,京城,建材營造業
406,2527,宏璟,建材營造業
407,2528,皇普,建材營造業
408,2530,華建,建材營造業
409,2534,宏盛,建材營造業
410,2535,達欣工,建材營造業
411,2536,宏普,建材營造業
412,2537,聯上發,建材營造業
413,2538,基泰,建材營造業
414,2539,櫻花建,建材營造業
415,2540,愛山林,建材營造業
416,2542,興富發,建材營造業
417,2543,皇昌,建材營造業
418,2545,皇翔,建材營造業
419,2546,根基,建材營造業
420,2547,日勝生,建材營造業
421,2548,華固,建材營造業
422,2597,潤弘,建材營造業
423,2601,益航,貿易百貨業
424,2603,長榮,航運業
425,2605,新興,航運業
426,2606,裕民,航運業
427,2607,榮運,航運業
428,2608,嘉里大榮,航運業
429,2609,陽明,航運業
430,2610,華航,航運業
431,2611,志信,航運業
432,2612,中航,航運業
433,2613,中櫃,航運業
434,2614,東森,其他業
435,2615,萬海,航運業
436,2616,山隆,油電燃氣業
437,2617,台航,航運業
438,2618,長榮航,航運業
439,2630,亞航,航運業
440,2633,台灣高鐵,航運業
441,2634,漢翔,航運業
